pickup_zone_name,pickup_count
Upper East Side South,2014915
JFK Airport,1923134
Midtown Center,1922045
Upper East Side North,1770798
Penn Station/Madison Sq West,1433926
Midtown East,1408405
Times Sq/Theatre District,1364421
Lincoln Square East,1295316
LaGuardia Airport,1213660
Murray Hill,1202194
Union Sq,1198787
East Chelsea,1158478
Midtown North,1143554
East Village,1143215
Upper West Side South,1134337
Clinton East,1051859
West Village,979060
Lenox Hill West,974012
Midtown South,944715
Lenox Hill East,866511
Gramercy,858325
West Chelsea/Hudson Yards,822061
Upper West Side North,813538
Yorkville West,809166
Sutton Place/Turtle Bay North,711216
Flatiron,684861
Greenwich Village South,648788
TriBeCa/Civic Center,631859
Greenwich Village North,630745
Garment District,616330
Yorkville East,604392
Central Park,588503
Lower East Side,565129
Kips Bay,510503
Lincoln Square West,509736
Little Italy/NoLiTa,503133
UN/Turtle Bay South,483191
Meatpacking/West Village West,452687
SoHo,382074
Manhattan Valley,352788
East Harlem South,344698
Financial District North,324310
Clinton West,311612
Battery Park City,289122
Morningside Heights,264456
World Trade Center,226474
Hudson Sq,224713
Central Harlem,204967
East Harlem North,183076
Financial District South,163404
Alphabet City,154478
Central Harlem North,147676
Bloomingdale,127234
Two Bridges/Seward Park,126463
East Elmhurst,120766
Seaport,103504
Washington Heights South,102873
Chinatown,99909
Williamsburg (North Side),99794
Long Island City/Hunters Point,99647
Stuy Town/Peter Cooper Village,98811
Astoria,95238
Hamilton Heights,90824
Crown Heights North,83874
Sunnyside,83165
Williamsburg (South Side),74936
Bushwick South,71449
,68352
Greenpoint,66969
East Williamsburg,62782
Fort Greene,62628
East New York,60546
Downtown Brooklyn/MetroTech,60053
Brooklyn Heights,60031
Manhattanville,58938
DUMBO/Vinegar Hill,58670
Jackson Heights,53631
Park Slope,53602
Boerum Hill,53514
Stuyvesant Heights,52935
Prospect-Lefferts Gardens,50611
Jamaica,50378
Bedford,48114
Flatbush/Ditmas Park,48046
Washington Heights North,45465
Long Island City/Queens Plaza,45287
Bushwick North,43488
Clinton Hill,42401
Canarsie,39570
South Ozone Park,39562
Old Astoria,35385
Mott Haven/Port Morris,33768
Woodside,33469
Brownsville,33174
Elmhurst,32842
Queensbridge/Ravenswood,32647
Richmond Hill,31899
Ocean Hill,31669
Steinway,31563
East Flatbush/Remsen Village,30958
Forest Hills,29059
Flatlands,27872
East Flatbush/Farragut,27666
Flushing Meadows-Corona Park,24669
Crown Heights South,24314
Sunset Park West,23804
Baisley Park,23695
Ridgewood,23258
Prospect Heights,21528
Inwood,20924
Bay Ridge,20835
Outside of NYC,20707
West Concourse,20600
Maspeth,20373
Erasmus,19849
East Concourse/Concourse Village,19244
Red Hook,18427
South Jamaica,18108
Melrose South,17629
Soundview/Castle Hill,16880
Carroll Gardens,16793
Cypress Hills,16531
Cobble Hill,16529
Coney Island,16259
Saint Albans,16256
East New York/Pennsylvania Avenue,15854
Co-Op City,15479
Flushing,15446
Battery Park,15203
Williamsbridge/Olinville,15024
Corona,14430
Woodhaven,14209
Briarwood/Jamaica Hills,13904
University Heights/Morris Heights,13852
Parkchester,13649
Morrisania/Melrose,13443
Rego Park,13084
Gowanus,12986
Borough Park,12891
Kew Gardens,12596
Mount Hope,12591
Elmhurst/Maspeth,12500
East Tremont,12360
Queens Village,12206
Midwood,12134
Marine Park/Mill Basin,11989
Springfield Gardens South,11801
Starrett City,11660
Springfield Gardens North,11541
Kensington,11343
Highbridge,11130
Bedford Park,11076
Sheepshead Bay,11043
Far Rockaway,10923
Hammels/Arverne,10460
Soundview/Bruckner,9685
Van Cortlandt Village,9599
Claremont/Bathgate,9378
Spuyten Duyvil/Kingsbridge,9285
Bensonhurst West,9215
Westchester Village/Unionport,9147
Van Nest/Morris Park,9082
West Farms/Bronx River,9054
Norwood,8972
South Williamsburg,8865
Homecrest,8844
Sunset Park East,8781
Middle Village,8726
Hunts Point,8720
Hillcrest/Pomonok,8474
Brooklyn Navy Yard,8471
Woodlawn/Wakefield,8350
Jamaica Estates,8173
Eastchester,8142
North Corona,8044
Glendale,7735
Schuylerville/Edgewater Park,7648
Crotona Park East,7550
Kingsbridge Heights,7384
Brighton Beach,7050
Bronxdale,6922
Windsor Terrace,6882
Longwood,6876
Kew Gardens Hills,6700
Howard Beach,6693
Roosevelt Island,6678
Bensonhurst East,6594
Madison,6539
Ozone Park,6487
Pelham Parkway,6336
Laurelton,6185
Newark Airport,6174
Belmont,5875
Gravesend,5684
Hollis,5641
Rosedale,5591
Riverdale/North Riverdale/Fieldston,5493
Dyker Heights,5434
Fordham South,5408
Allerton/Pelham Gardens,5039
Cambria Heights,4880
Bellerose,4877
Columbia Street,4606
College Point,4187
Prospect Park,4122
Manhattan Beach,3920
Murray Hill-Queens,3912
Bayside,3656
Bath Beach,3525
Whitestone,3443
Saint Michaels Cemetery/Woodside,3422
Queensboro Hill,3403
Glen Oaks,3278
Pelham Bay,3183
Ocean Parkway South,3180
Rockaway Park,3144
Fresh Meadows,2909
Marble Hill,2473
Oakland Gardens,2423
Randalls Island,2173
Auburndale,2044
East Flushing,1874
Bay Terrace/Fort Totten,1825
Douglaston,1781
Inwood Hill Park,1762
Van Cortlandt Park,1536
Bronx Park,1244
Arrochar/Fort Wadsworth,1042
Highbridge Park,1013
Forest Park/Highland Park,967
City Island,842
Marine Park/Floyd Bennett Field,733
Stapleton,706
Country Club,697
Pelham Bay Park,630
Astoria Park,617
South Beach/Dongan Hills,472
Willets Point,396
Bloomfield/Emerson Hill,375
Grymes Hill/Clifton,370
Breezy Point/Fort Tilden/Riis Beach,333
Crotona Park,320
Heartland Village/Todt Hill,267
New Dorp/Midland Beach,227
Westerleigh,214
Broad Channel,213
Saint George/New Brighton,179
Mariners Harbor,155
Green-Wood Cemetery,144
West Brighton,125
Oakwood,116
Great Kills,93
Jamaica Bay,78
Port Richmond,73
Eltingville/Annadale/Prince's Bay,32
Charleston/Tottenville,31
Rossville/Woodrow,27
Arden Heights,22
Rikers Island,18
Governor's Island/Ellis Island/Liberty Island,9
Freshkills Park,8
